strategy,nr_events,stream_config.spread,stream_config.offset,bytes,window.size,window.slide,window.offset,nr_windows,thr_mean,thr_median,ns_mean,ns_median,thr_std_dev,mem_total,reserve
slice,5000,1,1,0,5000,5000,0,22,18025358.730534054,18202471.844628092,279336.4892884855,274688.6145752896,1247676.8984197078,0,5000
rc,5000,1,1,0,5000,5000,0,23,9623057.105408141,9695519.433859475,520505.53209284425,515702.81727272726,376107.1306642989,160000,5000
legacy,5000,1,1,0,5000,5000,0,23,27620.637008497048,27377.01477473149,181222618.16666666,182634978.5,945.1039086247931,8580591485,5000
arc,5000,1,1,0,5000,5000,0,23,9535945.0788187,9607378.931624655,525692.601468562,520433.39350649354,440698.23570698855,160000,5000
clone,5000,1,1,0,5000,5000,0,23,17358009.842511073,17564810.91938275,290004.95966970595,284660.0560515873,1185518.997831341,0,5000
slice,5000,1,1,0,5000,5000,0,23,17247172.44130022,17461313.39286939,291818.91592847975,286347.31773809524,1162486.4742723284,0,5000
rc,5000,1,1,0,5000,5000,0,24,9392777.88447541,9417512.09009917,532865.9529999066,530925.8583333334,287117.42849761515,160000,5000
legacy,5000,1,1,0,5000,5000,0,24,26476.732732322474,26393.884368850107,188954318.26666668,189438213.0,651.9172974664511,8953660680,5000
arc,5000,1,1,0,5000,5000,0,24,9418971.111139057,9426340.730116485,531761.433613253,530428.9561956523,367215.0255566345,160000,5000
clone,5000,1,1,0,5000,5000,0,24,16723991.823907148,16956034.68473509,300973.71251342946,294880.42427015246,1142799.781138689,0,5000
slice,5000,1,1,0,5000,5000,0,24,16786099.889627926,16948950.17807296,299769.1280132416,295003.5407239819,1114507.922851034,0,5000
rc,5000,1,1,0,5000,5000,0,25,9225155.73892451,9238058.073364116,542847.8115747789,541239.306321359,345321.09937897616,160000,5000
legacy,5000,1,1,0,5000,5000,0,25,25064.514089072763,24990.93729372014,199530016.93333334,200072532.0,387.20188350815613,9326729875,5000
arc,5000,1,1,0,5000,5000,0,25,9244181.797519416,9298510.995577881,541504.2829746399,537720.6119851258,296654.6961768008,160000,5000
clone,5000,1,1,0,5000,5000,0,25,16243930.759308707,16447860.692940172,309830.02471901465,303990.9015151515,1088913.7332726198,0,5000
slice,5000,1,1,0,5000,5000,0,25,16147492.79451321,16333092.991152298,311667.00057465315,306126.97194472194,1078065.2386660818,0,5000
rc,5000,1,1,0,5000,5000,0,26,9109974.087664427,9154044.662507638,549839.3333084187,546206.6983805669,357922.1452360289,160000,5000
legacy,5000,1,1,0,5000,5000,0,26,24826.24705824496,24640.721011442998,201502700.63333333,202916398.5,579.6202477103654,9699799070,5000
arc,5000,1,1,0,5000,5000,0,26,9138669.713502036,9181793.75305809,547842.3334606222,544555.9167464115,311777.67182603385,160000,5000
clone,5000,1,1,0,5000,5000,0,26,15839575.874905305,15996874.833750298,317464.34882308927,312561.08039215684,1004051.0798697167,0,5000
slice,5000,1,1,0,5000,5000,0,26,15658808.34385161,15850914.895467188,321533.2588037548,315439.20551470586,1073316.4750113187,0,5000
rc,5000,1,1,0,5000,5000,0,27,8872847.549130395,8907370.795288745,563997.3417560933,561333.0190212373,252277.22784460915,160000,5000
legacy,5000,1,1,0,5000,5000,0,27,23556.469192261804,23546.40338220507,212261667.23333332,212346658.0,124.73544515004808,10072868265,5000
arc,5000,1,1,0,5000,5000,0,27,8890447.12755212,8927740.272698166,563075.2550710229,560052.1599516032,293401.33820113644,160000,5000
clone,5000,1,1,0,5000,5000,0,27,15293262.656459525,15510293.792747207,328955.5576068489,322366.6649688738,1009554.1959410509,0,5000
slice,5000,1,1,0,5000,5000,0,27,15269082.800377207,15451924.299394298,329267.72988419974,323584.3108504399,954713.749229815,0,5000
rc,5000,1,1,0,5000,5000,0,28,8688907.989349065,8758772.556799233,576834.7602914127,570856.2564484128,384761.0317046885,160000,5000
legacy,5000,1,1,0,5000,5000,0,28,23229.89446843043,23095.168032652844,215353036.1,216495583.0,546.658075783754,10445937460,5000
arc,5000,1,1,0,5000,5000,0,28,8761681.53382438,8811471.215901405,571806.2815653732,567442.3224206349,357147.4288508267,160000,5000
clone,5000,1,1,0,5000,5000,0,28,14846168.337940142,15036099.497511826,338906.6555250041,332533.07038123166,980722.0278050739,0,5000
slice,5000,1,1,0,5000,5000,0,28,14814818.721803134,14995777.565696273,339887.1600480835,333427.19851190475,1021167.2878861015,0,5000
rc,5000,1,1,0,5000,5000,0,29,8358420.450213025,8414476.246890841,599270.637912173,594214.7820242656,329860.5296329347,160000,5000
legacy,5000,1,1,0,5000,5000,0,29,22358.83319117129,22147.448061943665,223771679.9,225760974.5,584.662480660571,10819006655,5000
arc,5000,1,1,0,5000,5000,0,29,8441244.168504493,8486886.57034329,593152.2445480449,589144.2758730159,295432.26119184535,160000,5000
clone,5000,1,1,0,5000,5000,0,29,14103656.371545374,14230821.980765434,355364.35370766,351350.05201149423,625530.5519453968,0,5000
slice,5000,1,1,0,5000,5000,0,29,13952200.979908317,14057209.020689491,359164.82903598493,355689.4395525452,597620.5257928235,0,5000
rc,5000,1,1,0,5000,5000,0,3,16099333.016755655,15893115.11569073,310855.2281359659,314605.48823863635,498083.15216685884,160000,5000
legacy,5000,1,1,0,5000,5000,0,3,235468.30550551033,237430.25839108013,21250433.386587348,21058859.655462183,6563.006301088795,1119207585,5000
arc,5000,1,1,0,5000,5000,0,3,15811329.363289721,15537792.468448233,316489.0557528463,321796.0473257211,464964.34792134055,160000,5000
